Rank,School System,State,Enrollment,Instruction_Total,Instruction_Salaries,Instruction_EmployeeBenefits,Support_Total,Support_Pupil,Support_Staff,Support_GeneralAdmin,Support_SchoolAdmin,grad_rate
0,New York City County,New York,984462,19110,10413,6584,5494,129,102,87,574,87.0
1,Los Angeles Unified,California,633621,7884,4466,2296,5005,729,987,92,978,77.7
2,Cook County,Illinois,378199,9372,4352,2990,3602,734,354,337,545,85.8
3,Miami-Dade County,Florida,357249,5981,3094,1119,2807,386,432,65,460,80.6
4,Clark County,Nevada,326953,5362,3486,1400,3222,435,521,110,663,84.9
5,Broward County,Florida,271852,5675,3073,882,2964,479,427,69,504,88.3
6,Houston County,Texas,216106,5096,3663,610,4061,374,435,133,614,82.4
7,Hillsborough County,Florida,214386,5556,3593,974,2834,389,738,75,485,87.8
8,Orange County,Florida,200674,5499,3029,1015,3306,285,943,75,591,87.7
9,Palm Beach County,Florida,192721,6299,3424,1202,3019,307,593,94,546,87.9
10,Fairfax County,Virginia,187467,9030,6037,2606,4933,853,995,62,858,91.7
11,Hawaii Public Schools,Hawaii,181550,8372,5262,2314,5227,1348,483,71,1028,91.6
12,Gwinnett County,Georgia,178214,5556,3921,1471,3564,434,364,52,752,87.5
13,Wake County,North Carolina,160467,5729,4105,1368,2579,515,282,50,485,92.3
14,Montgomery County,Maryland,159010,10655,6924,3200,5101,628,994,78,1060,91.2
15,Dallas County,Texas,157886,5625,4398,683,3773,553,677,88,596,78.0
16,Charlotte/Mecklenburg,North Carolina,147428,5817,3918,1305,2762,401,249,95,537,89.6
17,Philadelphia,Pennsylvania,133929,6918,3607,2505,4219,454,493,458,493,82.0
18,Prince Georges County,Maryland,130814,9581,5935,2561,5424,777,572,110,952,85.8
19,Duval County,Florida,129479,5583,3052,1045,3013,509,532,61,466,88.9
20,San Diego Unified,California,128040,6965,4200,2250,4282,1007,543,77,753,86.4
21,Harris County,Texas,114868,5366,4317,630,2429,395,318,50,397,80.2
22,Cobb County,Georgia,113151,6530,4448,1713,2920,453,415,110,643,91.2
23,Baltimore County,Maryland,112139,9008,5436,2478,4832,753,623,83,1027,90.6
24,Shelby County,Tennessee,111403,6271,4019,1337,3712,608,605,179,718,87.1
25,Houston County,Texas,106145,5458,4230,801,2722,427,458,44,451,82.4
26,Pinellas County,Florida,102905,5762,3716,1109,3108,400,567,68,553,88.7
27,Polk County,Florida,102295,5976,3048,971,2626,373,489,79,420,84.0
28,DeKalb County,Georgia,101284,6365,4391,1579,3612,577,454,159,618,88.6
29,Jefferson County,Kentucky,99813,6560,4674,1698,5103,595,1349,51,868,89.3
30,Fulton County,Georgia,96122,6299,4588,1575,3858,568,668,68,643,90.9
31,Lee County,Florida,92686,5423,2988,865,3223,337,494,81,517,87.0
32,Denver,Colorado,91138,5475,4207,695,5425,651,1159,111,1204,86.4
33,Bernalillo County,New Mexico,90651,5494,3900,1363,3350,920,240,108,538,88.1
34,Prince William County,Virginia,89345,6280,4455,1495,4234,542,822,463,769,89.0
36,Jefferson County,Colorado,86371,5205,3713,1086,3816,503,638,92,751,94.2
37,Davidson County,Tennessee,85163,6253,3968,1666,4384,620,962,45,832,87.5
38,Austin,Texas,83067,5645,4253,1003,3980,459,643,102,661,82.4
39,Baltimore,Maryland,82354,10197,5601,2684,5381,792,671,624,1076,90.6
40,Anne Arundel County,Maryland,81379,8806,5390,2544,4567,554,674,97,971,91.9
41,Utah County,Utah,78957,4373,2493,1410,1715,194,237,25,406,93.3
42,Loudoun County,Virginia,78348,8971,5637,2714,4876,724,586,134,809,93.5
43,Greenville County,South Carolina,76918,5234,3572,1320,3556,734,533,33,636,86.9
44,Los Angeles County,California,76428,7907,4562,2235,3849,608,627,65,697,77.7
45,Milwaukee,Wisconsin,76206,7925,4121,1891,5548,836,925,468,662,86.9
46,Harris County,Texas,75428,5939,4719,751,2839,488,349,77,484,80.2
47,Fort Bend,Texas,74146,5159,4047,745,3193,544,446,64,531,88.9
48,Brevard County,Florida,73444,5264,3253,896,2782,340,679,60,522,91.2
49,Fresno Unified,California,73356,7043,4222,2082,4364,747,751,97,732,73.8
50,Guilford County,North Carolina,73059,5957,4008,1359,3145,593,383,70,527,88.4
51,Davis County,Utah,72987,4413,2694,1327,1965,219,285,38,472,95.5
52,Pasco County,Florida,72493,5044,3119,1012,3029,408,521,60,544,88.3
53,Harris County,Texas,69768,5912,4596,730,3687,537,548,59,655,80.2
54,Salt Lake County,Utah,69580,4641,2873,1416,2170,310,234,55,458,89.8
55,Virginia Beach City County,Virginia,69085,6533,4531,1684,4277,509,916,90,665,93.2
56,Seminole County,Florida,67808,5118,3328,1026,2600,376,337,75,488,93.4
58,Douglas County,Colorado,67470,5080,3514,1136,3369,404,428,55,717,97.9
59,Washoe County,Nevada,66671,5247,3507,1429,3782,809,597,163,602,87.0
60,Maricopa County,Arizona,63444,4350,3005,904,3134,674,463,45,388,86.9
61,Sacramento County,California,63061,7095,4362,2083,3643,683,573,51,683,86.8
62,Osceola County,Florida,63031,5229,2612,797,2634,381,557,69,372,85.7
63,Volusia County,Florida,63028,5114,3332,947,2842,361,569,57,572,89.3
64,Tarrant County,Texas,62181,5509,4543,616,2937,593,491,56,470,85.2
65,Knox County,Tennessee,60372,5105,3671,1009,2979,382,632,115,547,90.6
66,San Francisco Unified,California,60133,5647,3825,1688,5439,847,2001,205,756,87.0
67,Chesterfield County,Virginia,60060,6177,4045,1914,3086,426,526,85,581,91.4
68,Montgomery County,Texas,59764,5147,4129,690,2776,429,317,80,489,86.8
69,El Paso,Texas,59424,5575,4211,782,3475,607,719,71,632,76.5
70,Dallas County,Texas,57133,5246,4078,641,3051,520,547,61,525,78.0
71,Mobile County,Alabama,56628,5012,3222,1282,3674,539,424,162,528,85.8
72,Harris County,Texas,56282,5950,4767,816,3072,527,416,50,645,80.2
73,Collin County,Texas,55923,5319,4365,646,2480,411,388,70,507,93.6
74,Howard County,Maryland,55626,11492,7635,3182,4161,315,122,249,1420,95.3
75,Forsyth County,North Carolina,55228,6074,4107,1410,2616,571,304,46,492,87.9
76,Arapahoe County,Colorado,54852,7065,5169,1400,3006,579,390,95,492,92.3
77,Orange County,California,54505,7572,4796,2119,3956,575,645,47,747,84.3
78,Clayton County,Georgia,54345,5812,3926,1258,3246,530,553,238,510,82.3
78,Clayton County,Georgia,54345,5812,3926,1258,3246,530,553,238,510,83.6
79,King County,Washington,54215,8401,5688,1929,5159,1000,770,176,884,92.5
80,Collin County,Texas,54173,6003,4878,670,3055,518,388,96,489,93.6
81,Suffolk County,Massachusetts,53640,12612,8733,3708,8712,1353,2173,381,926,84.3
82,Orange County,California,53613,5837,3727,1694,2859,566,341,52,580,84.3
83,Salt Lake County,Utah,53416,3992,2474,1090,1968,224,264,46,409,89.8
84,Denton County,Texas,53257,5646,4513,709,2878,475,353,75,561,92.0
85,Riverside County,California,53157,7131,4738,1621,3720,730,431,47,784,80.1
86,San Bernardino Unified,California,53152,7275,4324,1927,4773,883,640,68,926,78.8
87,Bexar County,Texas,52514,5850,4200,1056,3920,675,789,71,633,81.7
88,Douglas County,Nebraska,52344,8001,4987,2080,3731,429,262,185,567,89.4
89,Fulton County,Georgia,51927,6716,5208,2503,6973,1266,1192,215,1089,90.9
91,Henrico County,Virginia,51425,5782,4032,1523,3441,467,622,111,602,90.9
92,Cumberland County,North Carolina,51194,5388,3832,1207,2606,449,367,38,599,90.3
93,Sedgwick County,Kansas,50600,6048,4059,1620,4220,987,599,99,699,89.0
94,Franklin County,Ohio,50331,8324,5227,2114,6506,1424,825,185,832,90.4
95,Alameda County,California,49760,6487,3583,1821,4724,413,1266,150,912,87.3
96,Nevada County,California,49255,6212,3747,1868,3911,508,929,78,834,93.3
97,Manatee County,Florida,48884,5356,2828,840,2894,370,470,72,501,88.5
98,Jefferson Parish,Louisiana,48668,6053,3703,1837,4412,790,390,514,755,84.7
99,Charleston County,South Carolina,48551,5716,3781,1374,4600,756,776,76,768,90.2
